dataset,route,dropped,n,n_noise,auc,full_auc,delta
near_duplicate,iforest,text_nn_sim,14611,1461,0.6051644402110122,0.6074913010777034,-0.002326860866691205
near_duplicate,rf,loss_mean,14611,1461,0.6981500508792614,0.6963892640854875,0.0017607867937738941
near_duplicate,iforest,loss_mean,14611,1461,0.6083275427268681,0.6074913010777034,0.0008362416491646263
near_duplicate,rf,loss_last,14611,1461,0.6980696850690838,0.6963892640854875,0.0016804209835963313
near_duplicate,iforest,loss_last,14611,1461,0.6067357375410872,0.6074913010777034,-0.0007555635366162106
near_duplicate,rf,loss_std,14611,1461,0.7010858493193108,0.6963892640854875,0.004696585233823325
near_duplicate,iforest,loss_std,14611,1461,0.6089719266193528,0.6074913010777034,0.0014806255416494052
near_duplicate,rf,loss_slope,14611,1461,0.6981835973589631,0.6963892640854875,0.0017943332734755568
near_duplicate,iforest,loss_slope,14611,1461,0.6051003661745301,0.6074913010777034,-0.002390934903173325
near_duplicate,rf,loss_min,14611,1461,0.6993636578935725,0.6963892640854875,0.002974393808084952
near_duplicate,iforest,loss_min,14611,1461,0.6054765864309825,0.6074913010777034,-0.002014714646720983
near_duplicate,rf,converge_epoch,14611,1461,0.697154352844424,0.6963892640854875,0.0007650887589364386
near_duplicate,iforest,converge_epoch,14611,1461,0.5934037575180289,0.6074913010777034,-0.014087543559674565
near_duplicate,rf,loss_curvature,14611,1461,0.6958066379868989,0.6963892640854875,-0.0005826260985886123
near_duplicate,iforest,loss_curvature,14611,1461,0.6103982115484211,0.6074913010777034,0.002906910470717672
near_duplicate,rf,loss_rank,14611,1461,0.6959889184708633,0.6963892640854875,-0.00040034561462420903
near_duplicate,iforest,loss_rank,14611,1461,0.6152553982766114,0.6074913010777034,0.0077640971989079155
near_duplicate,rf,grad_norm_mean,14611,1461,0.6983351420845662,0.6963892640854875,0.001945877999078638
near_duplicate,iforest,grad_norm_mean,14611,1461,0.6148686638403302,0.6074913010777034,0.0073773627626267935
near_duplicate,rf,grad_norm_last,14611,1461,0.6978495899730118,0.6963892640854875,0.0014603258875243164
near_duplicate,iforest,grad_norm_last,14611,1461,0.609997735807809,0.6074913010777034,0.002506434730105589
near_duplicate,rf,grad_norm_std,14611,1461,0.7003609174402655,0.6963892640854875,0.003971653354778004
near_duplicate,iforest,grad_norm_std,14611,1461,0.6172392470389831,0.6074913010777034,0.009747945961279703
near_duplicate,rf,grad_norm_slope,14611,1461,0.6978345734339989,0.6963892640854875,0.0014453093485113921
near_duplicate,iforest,grad_norm_slope,14611,1461,0.6126823910910544,0.6074913010777034,0.005191090013350941
near_duplicate,rf,cos_ref_mean,14611,1461,0.6961330460151518,0.6963892640854875,-0.000256218070335712
near_duplicate,iforest,cos_ref_mean,14611,1461,0.6134898488716776,0.6074913010777034,0.005998547793974129
near_duplicate,rf,cos_ref_last,14611,1461,0.6950812116290992,0.6963892640854875,-0.00130805245638832
near_duplicate,iforest,cos_ref_last,14611,1461,0.6110081901296835,0.6074913010777034,0.00351688905198011
near_duplicate,rf,cos_ref_std,14611,1461,0.6984092097969254,0.6963892640854875,0.0020199457114379316
near_duplicate,iforest,cos_ref_std,14611,1461,0.6173664582048339,0.6074913010777034,0.009875157127130496
near_duplicate,rf,cos_ref_slope,14611,1461,0.69959668751285,0.6963892640854875,0.0032074234273624658
near_duplicate,iforest,cos_ref_slope,14611,1461,0.6151748242648533,0.6074913010777034,0.007683523187149821
near_duplicate,rf,grad_norm_cv,14611,1461,0.7000611592143513,0.6963892640854875,0.003671895128863789
near_duplicate,iforest,grad_norm_cv,14611,1461,0.617475659933948,0.6074913010777034,0.009984358856244602
near_duplicate,rf,update_contrib_mean,14611,1461,0.6991767449244358,0.6963892640854875,0.0027874808389483086
near_duplicate,iforest,update_contrib_mean,14611,1461,0.6130063527507333,0.6074913010777034,0.005515051673029903
template,rf,(none),14611,1461,0.994047985259328,0.994047985259328,0.0
template,iforest,(none),14611,1461,0.5509355277779947,0.5509355277779947,0.0
template,rf,text_nn_sim,14611,1461,0.9925857855575768,0.994047985259328,-0.00146219970175121
template,iforest,text_nn_sim,14611,1461,0.49876198135034344,0.5509355277779947,-0.05217354642765126
template,rf,loss_mean,14611,1461,0.9943388949180597,0.994047985259328,0.00029090965873168617
template,iforest,loss_mean,14611,1461,0.5381038041031326,0.5509355277779947,-0.012831723674862072
template,rf,loss_last,14611,1461,0.9944396644831525,0.994047985259328,0.0003916792238244371
template,iforest,loss_last,14611,1461,0.5851952019945712,0.5509355277779947,0.0342596742165765
template,rf,loss_std,14611,1461,0.9947186546013851,0.994047985259328,0.000670669342057062
template,iforest,loss_std,14611,1461,0.5267584315133912,0.5509355277779947,-0.024177096264603515
template,rf,loss_slope,14611,1461,0.993478475860328,0.994047985259328,-0.0005695093990000233
template,iforest,loss_slope,14611,1461,0.5214534031849638,0.5509355277779947,-0.0294821245930309
template,rf,loss_min,14611,1461,0.9934718914853361,0.994047985259328,-0.0005760937739919259
template,iforest,loss_min,14611,1461,0.5693263377602195,0.5509355277779947,0.018390809982224754
template,rf,converge_epoch,14611,1461,0.9944077575908996,0.994047985259328,0.00035977233157158395
template,iforest,converge_epoch,14611,1461,0.5751199631483203,0.5509355277779947,0.024184435370325552
template,rf,loss_curvature,14611,1461,0.9942602988213187,0.994047985259328,0.00021231356199069573
template,iforest,loss_curvature,14611,1461,0.5144760997597875,0.5509355277779947,-0.03645942801820723
template,rf,loss_rank,14611,1461,0.9942962916695945,0.994047985259328,0.0002483064102665189
template,iforest,loss_rank,14611,1461,0.5280390273863155,0.5509355277779947,-0.02289650039167923
template,rf,grad_norm_mean,14611,1461,0.9943145093079119,0.994047985259328,0.00026652404858384937
template,iforest,grad_norm_mean,14611,1461,0.515167485159131,0.5509355277779947,-0.03576804261886368
template,rf,grad_norm_last,14611,1461,0.994454212568609,0.994047985259328,0.00040622730928097095
template,iforest,grad_norm_last,14611,1461,0.5373291380714809,0.5509355277779947,-0.013606389706513844
template,rf,grad_norm_std,14611,1461,0.9943600794289031,0.994047985259328,0.0003120941695751167
template,iforest,grad_norm_std,14611,1461,0.5196682307810423,0.5509355277779947,-0.03126729699695241
template,rf,grad_norm_slope,14611,1461,0.994220376168206,0.994047985259328,0.00017239090887799513
template,iforest,grad_norm_slope,14611,1461,0.5399963044219412,0.5509355277779947,-0.010939223356053462
template,rf,cos_ref_mean,14611,1461,0.9931248454753893,0.994047985259328,-0.0009231397839387645
template,iforest,cos_ref_mean,14611,1461,0.5423272772698527,0.5509355277779947,-0.008608250508141957
template,rf,cos_ref_last,14611,1461,0.9931238565178807,0.994047985259328,-0.0009241287414473165
template,iforest,cos_ref_last,14611,1461,0.5343810036877705,0.5509355277779947,-0.016554524090224176
template,rf,cos_ref_std,14611,1461,0.994478832405535,0.994047985259328,0.00043084714620700293
template,iforest,cos_ref_std,14611,1461,0.5264076118497929,0.5509355277779947,-0.024527915928201804
template,rf,cos_ref_slope,14611,1461,0.9940130334189562,0.994047985259328,-3.4951840371832965e-05
template,iforest,cos_ref_slope,14611,1461,0.5156553014628764,0.5509355277779947,-0.03528022631511829
template,rf,grad_norm_cv,14611,1461,0.9937413563812484,0.994047985259328,-0.00030662887807964
template,iforest,grad_norm_cv,14611,1461,0.4904194481096598,0.5509355277779947,-0.06051607966833489
template,rf,update_contrib_mean,14611,1461,0.994312765619673,0.994047985259328,0.00026478036034494057
