dataset,route,dropped,n,n_noise,auc,full_auc,delta
near_duplicate,rf,loss_mean,14611,1461,0.6972136382445483,0.6947310165702433,0.002482621674305019
near_duplicate,iforest,loss_mean,14611,1461,0.6096204224930578,0.6142740921760448,-0.004653669682986972
near_duplicate,rf,loss_last,14611,1461,0.696212266716635,0.6947310165702433,0.001481250146391777
near_duplicate,iforest,loss_last,14611,1461,0.6083476341794124,0.6142740921760448,-0.005926457996632384
near_duplicate,rf,loss_std,14611,1461,0.6929583102359703,0.6947310165702433,-0.0017727063342729554
near_duplicate,iforest,loss_std,14611,1461,0.6056841113566155,0.6142740921760448,-0.0085899808194293
near_duplicate,rf,loss_slope,14611,1461,0.697779634241873,0.6947310165702433,0.003048617671629672
near_duplicate,iforest,loss_slope,14611,1461,0.6030213692897464,0.6142740921760448,-0.011252722886298416
near_duplicate,rf,loss_min,14611,1461,0.6962594243746795,0.6947310165702433,0.0015284078044361937
near_duplicate,iforest,loss_min,14611,1461,0.5998633677126194,0.6142740921760448,-0.014410724463425395
near_duplicate,rf,converge_epoch,14611,1461,0.701224329395721,0.6947310165702433,0.006493312825477715
near_duplicate,iforest,converge_epoch,14611,1461,0.593383249662323,0.6142740921760448,-0.020890842513721752
near_duplicate,rf,loss_curvature,14611,1461,0.6996744768284653,0.6947310165702433,0.00494346025822201
near_duplicate,iforest,loss_curvature,14611,1461,0.6090752987042055,0.6142740921760448,-0.005198793471839269
near_duplicate,rf,loss_rank,14611,1461,0.7003184182925909,0.6947310165702433,0.005587401722347618
near_duplicate,iforest,loss_rank,14611,1461,0.6085208578946135,0.6142740921760448,-0.005753234281431263
near_duplicate,rf,grad_norm_mean,14611,1461,0.6995134849561345,0.6947310165702433,0.0047824683858912476
near_duplicate,iforest,grad_norm_mean,14611,1461,0.6125882839765461,0.6142740921760448,-0.0016858081994987062
near_duplicate,rf,grad_norm_last,14611,1461,0.6963021837743304,0.6947310165702433,0.0015711672040871205
near_duplicate,iforest,grad_norm_last,14611,1461,0.6063712286235534,0.6142740921760448,-0.007902863552491368
near_duplicate,rf,grad_norm_std,14611,1461,0.7024111044313104,0.6947310165702433,0.007680087861067109
near_duplicate,iforest,grad_norm_std,14611,1461,0.6103227905257871,0.6142740921760448,-0.003951301650257699
near_duplicate,rf,grad_norm_slope,14611,1461,0.695120743904248,0.6947310165702433,0.00038972733400477466
near_duplicate,iforest,grad_norm_slope,14611,1461,0.6056082739308197,0.6142740921760448,-0.008665818245225054
