dataset,feature,importance,importance_std,n,n_noise,rank
near_duplicate,loss_std,0.009569432952990665,0.013720926788037918,906,87,7
near_duplicate,update_contrib_mean,0.009386759180204592,0.00927157023800645,906,87,8
near_duplicate,grad_norm_slope,0.008831002524207852,0.009357075539216374,906,87,9
near_duplicate,loss_curvature,0.008601711957664512,0.006076146218831766,906,87,10
near_duplicate,loss_rank,0.007167862755855993,0.006822093630381153,906,87,11
near_duplicate,hard_pos_std_mean,0.0066212204119515065,0.016769403757493438,906,87,12
near_duplicate,cos_ref_mean,0.005877161004558441,0.0065299176689633176,906,87,13
near_duplicate,grad_norm_cv,0.005719702415356883,0.011117994811036326,906,87,14
near_duplicate,entropy,0.005501093399602336,0.012312796236752473,906,87,15
near_duplicate,cos_global_last,0.005209287490745713,0.013276222846909875,906,87,16
near_duplicate,hard_pos_jaccard,0.004429900420440511,0.0105760669661998,906,87,17
near_duplicate,grad_norm_std,0.0043622206476485546,0.00698661605317107,906,87,18
near_duplicate,text_nn_sim,0.00430354944112415,0.005443970378054234,906,87,19
near_duplicate,token_loss_kurt,0.004133140961507051,0.010426994539426917,906,87,20
near_duplicate,loss_mean,0.0032111351698143574,0.006593276874730889,906,87,21
near_duplicate,cos_ref_last,0.0025142188403118335,0.00860627955082442,906,87,22
near_duplicate,loss_min,0.0023946936622920977,0.008010284103643853,906,87,23
near_duplicate,hard_id_uniq,0.0021991677986971194,0.0070364826304846065,906,87,24
near_duplicate,hard_loss_mean,-0.00010620976157434177,0.009602456720374165,906,87,25
near_duplicate,n_hard,-0.00027989758425191137,0.00784663139706951,906,87,26
near_duplicate,cos_global_std,-0.00028655834871231696,0.0035257935963503026,906,87,27
near_duplicate,frac_hard,-0.0007413307983675288,0.014371910400862907,906,87,28
near_duplicate,cos_global_mean,-0.000929233793871672,0.0037607619649460806,906,87,29
near_duplicate,converge_epoch,-0.002095712929792588,0.005286544759255856,906,87,30
near_duplicate,cos_ref_slope,-0.0024542138916517128,0.00836416489529936,906,87,31
near_duplicate,cos_global_slope,-0.002468759138150743,0.005081922988858191,906,87,32
near_duplicate,user_loss,-0.002643060653360053,0.007967944800751916,906,87,33
near_duplicate,loss_last,-0.004377433376462951,0.00814914841302228,906,87,34
near_duplicate,cos_ref_std,-0.005547191244196803,0.01752219243208352,906,87,35
near_duplicate,grad_norm_last,-0.006551980124185938,0.017705506088757116,906,87,36
template,hard_id_uniq,0.0019191375737286232,0.0018022805849011731,906,87,1
template,n_hard,0.001201140539012694,0.0011897540737775757,906,87,2
template,hard_pos_std_mean,0.001094916718744894,0.00072023081308056,906,87,3
template,loss_mean,0.0006474175035867513,0.0013135772613585936,906,87,4
template,entropy,0.0004902957117805995,0.00036064415434312766,906,87,5
template,hard_loss_mean,0.00046628407460540976,0.000499486932346669,906,87,6
template,loss_curvature,0.0002670173760560801,0.00032269825276677995,906,87,7
template,loss_min,0.0002584489080184649,0.0002522747883169649,906,87,8
